date,total_sales,year,month,day,dayofweek,is_weekend,sales_yesterday,sales_last_week
2013-04-09,306335.8019617,2013,4,9,1,0,346649.815943,377732.827961
2013-04-10,312846.374941,2013,4,10,2,0,306335.8019617,373731.0758793
2013-04-11,303223.41301,2013,4,11,3,0,312846.374941,308738.385963
2013-04-12,314394.967035,2013,4,12,4,0,303223.41301,336394.782031
2013-04-13,453442.497048,2013,4,13,5,1,314394.967035,509424.214023
2013-04-14,478417.148813,2013,4,14,6,1,453442.497048,519048.376884
2013-04-15,338712.458055,2013,4,15,0,0,478417.148813,346649.815943
2013-04-16,333431.880049,2013,4,16,1,0,338712.458055,306335.8019617
2013-04-17,334990.518942,2013,4,17,2,0,333431.880049,312846.374941
2013-04-18,281924.509951,2013,4,18,3,0,334990.518942,303223.41301
2013-04-19,311588.70494,2013,4,19,4,0,281924.509951,314394.967035
2013-04-20,459884.838043,2013,4,20,5,1,311588.70494,453442.497048
2013-04-21,485721.032087,2013,4,21,6,1,459884.838043,478417.148813
2013-04-22,328886.320986,2013,4,22,0,0,485721.032087,338712.458055
2013-04-23,302097.8329435,2013,4,23,1,0,328886.320986,333431.880049
2013-04-24,310555.184925,2013,4,24,2,0,302097.8329435,334990.518942
2013-04-25,268790.618996,2013,4,25,3,0,310555.184925,281924.509951
2013-04-26,304413.556952,2013,4,26,4,0,268790.618996,311588.70494
2013-04-27,446665.337895,2013,4,27,5,1,304413.556952,459884.838043
2013-04-28,477623.4729303,2013,4,28,6,1,446665.337895,485721.032087
2013-04-29,328795.874018,2013,4,29,0,0,477623.4729303,328886.320986
2013-04-30,310186.466894,2013,4,30,1,0,328795.874018,302097.8329435
2013-05-01,507974.636889,2013,5,1,2,0,310186.466894,310555.184925
2013-05-02,348709.460063,2013,5,2,3,0,507974.636889,268790.618996
2013-05-03,374291.2510323,2013,5,3,4,0,348709.460063,304413.556952
2013-05-04,520339.51596499997,2013,5,4,5,1,374291.2510323,446665.337895
2013-05-05,580268.550981,2013,5,5,6,1,520339.51596499997,477623.4729303
2013-05-06,369869.383046,2013,5,6,0,0,580268.550981,328795.874018
2013-05-07,317292.964148,2013,5,7,1,0,369869.383046,310186.466894
2013-05-08,332477.410968,2013,5,8,2,0,317292.964148,507974.636889
2013-05-09,305868.0570225,2013,5,9,3,0,332477.410968,348709.460063
2013-05-10,335937.441949,2013,5,10,4,0,305868.0570225,374291.2510323
2013-05-11,512090.58108,2013,5,11,5,1,335937.441949,520339.51596499997
2013-05-12,387860.5050145,2013,5,12,6,1,512090.58108,580268.550981
2013-05-13,350598.06187,2013,5,13,0,0,387860.5050145,369869.383046
2013-05-14,308469.313119,2013,5,14,1,0,350598.06187,317292.964148
2013-05-15,329113.560081,2013,5,15,2,0,308469.313119,332477.410968
2013-05-16,307556.946937,2013,5,16,3,0,329113.560081,305868.0570225
2013-05-17,330004.241998,2013,5,17,4,0,307556.946937,335937.441949
2013-05-18,480969.558942,2013,5,18,5,1,330004.241998,512090.58108
2013-05-19,518153.554009,2013,5,19,6,1,480969.558942,387860.5050145
2013-05-20,341787.214991,2013,5,20,0,0,518153.554009,350598.06187
2013-05-21,307178.399952,2013,5,21,1,0,341787.214991,308469.313119
2013-05-22,301785.4831075,2013,5,22,2,0,307178.399952,329113.560081
2013-05-23,289261.058026,2013,5,23,3,0,301785.4831075,307556.946937
2013-05-24,398389.241982,2013,5,24,4,0,289261.058026,330004.241998
2013-05-25,417930.141993,2013,5,25,5,1,398389.241982,480969.558942
2013-05-26,450631.400068,2013,5,26,6,1,417930.141993,518153.554009
2013-05-27,321630.8309235,2013,5,27,0,0,450631.400068,341787.214991
2013-05-28,307329.1680565,2013,5,28,1,0,321630.8309235,307178.399952
2013-05-29,309333.380899,2013,5,29,2,0,307329.1680565,301785.4831075
2013-05-30,304344.849939,2013,5,30,3,0,309333.380899,289261.058026
2013-05-31,330257.841975,2013,5,31,4,0,304344.849939,398389.241982
2013-06-01,566901.814988,2013,6,1,5,1,330257.841975,417930.141993
2013-06-02,637698.494958,2013,6,2,6,1,566901.814988,450631.400068
2013-06-03,426332.097995,2013,6,3,0,0,637698.494958,321630.8309235
2013-06-04,369705.160085,2013,6,4,1,0,426332.097995,307329.1680565
2013-06-05,361791.080915,2013,6,5,2,0,369705.160085,309333.380899
2013-06-06,317496.765891,2013,6,6,3,0,361791.080915,304344.849939
2013-06-07,357673.087977,2013,6,7,4,0,317496.765891,330257.841975
2013-06-08,466292.699096,2013,6,8,5,1,357673.087977,566901.814988
2013-06-09,526804.730256,2013,6,9,6,1,466292.699096,637698.494958
2013-06-10,349754.291978,2013,6,10,0,0,526804.730256,426332.097995
2013-06-11,283858.2159925,2013,6,11,1,0,349754.291978,369705.160085
2013-06-12,320173.5779987,2013,6,12,2,0,283858.2159925,361791.080915
2013-06-13,282886.9200452,2013,6,13,3,0,320173.5779987,317496.765891
2013-06-14,326956.74210719997,2013,6,14,4,0,282886.9200452,357673.087977
2013-06-15,505950.6668701,2013,6,15,5,1,326956.74210719997,466292.699096
2013-06-16,435894.082881,2013,6,16,6,1,505950.6668701,526804.730256
2013-06-17,370944.271024,2013,6,17,0,0,435894.082881,349754.291978
2013-06-18,320885.3399215,2013,6,18,1,0,370944.271024,283858.2159925
2013-06-19,319235.25797700003,2013,6,19,2,0,320885.3399215,320173.5779987
2013-06-20,293877.944015,2013,6,20,3,0,319235.25797700003,282886.9200452
2013-06-21,319722.6870265,2013,6,21,4,0,293877.944015,326956.74210719997
2013-06-22,446347.312096,2013,6,22,5,1,319722.6870265,505950.6668701
2013-06-23,504964.845142,2013,6,23,6,1,446347.312096,435894.082881
2013-06-24,336631.9640383,2013,6,24,0,0,504964.845142,370944.271024
2013-06-25,305119.530064,2013,6,25,1,0,336631.9640383,320885.3399215
2013-06-26,301847.2489636,2013,6,26,2,0,305119.530064,319235.25797700003
2013-06-27,266525.458966,2013,6,27,3,0,301847.2489636,293877.944015
2013-06-28,324210.971803,2013,6,28,4,0,266525.458966,319722.6870265
2013-06-29,509379.108146,2013,6,29,5,1,324210.971803,446347.312096
2013-06-30,533481.693027,2013,6,30,6,1,509379.108146,504964.845142
2013-07-01,441758.3880965,2013,7,1,0,0,533481.693027,336631.9640383
2013-07-02,390958.38408,2013,7,2,1,0,441758.3880965,305119.530064
2013-07-03,374551.917949,2013,7,3,2,0,390958.38408,301847.2489636
2013-07-04,327020.179028,2013,7,4,3,0,374551.917949,266525.458966
2013-07-05,351401.500074,2013,7,5,4,0,327020.179028,324210.971803
2013-07-06,479514.493924,2013,7,6,5,1,351401.500074,509379.108146
2013-07-07,500606.073078,2013,7,7,6,1,479514.493924,533481.693027
2013-07-08,365452.995017,2013,7,8,0,0,500606.073078,441758.3880965
2013-07-09,317279.1449993,2013,7,9,1,0,365452.995017,390958.38408
2013-07-10,314134.886071,2013,7,10,2,0,317279.1449993,374551.917949
2013-07-11,281750.931023,2013,7,11,3,0,314134.886071,327020.179028
2013-07-12,308786.438133,2013,7,12,4,0,281750.931023,351401.500074
2013-07-13,432569.1022205,2013,7,13,5,1,308786.438133,479514.493924
2013-07-14,438722.417857,2013,7,14,6,1,432569.1022205,500606.073078
2013-07-15,348803.0469486,2013,7,15,0,0,438722.417857,365452.995017
2013-07-16,335516.229006,2013,7,16,1,0,348803.0469486,317279.1449993
2013-07-17,324313.8180255,2013,7,17,2,0,335516.229006,314134.886071
2013-07-18,287074.8739522,2013,7,18,3,0,324313.8180255,281750.931023
2013-07-19,313332.555049,2013,7,19,4,0,287074.8739522,308786.438133
2013-07-20,435497.731013,2013,7,20,5,1,313332.555049,432569.1022205
2013-07-21,437952.624049,2013,7,21,6,1,435497.731013,438722.417857
2013-07-22,342802.29905,2013,7,22,0,0,437952.624049,348803.0469486
2013-07-23,316257.463107,2013,7,23,1,0,342802.29905,335516.229006
2013-07-24,309243.7899995,2013,7,24,2,0,316257.463107,324313.8180255
2013-07-25,298074.2249247,2013,7,25,3,0,309243.7899995,287074.8739522
2013-07-26,318745.692921,2013,7,26,4,0,298074.2249247,313332.555049
2013-07-27,423890.5020012,2013,7,27,5,1,318745.692921,435497.731013
2013-07-28,433358.6520873,2013,7,28,6,1,423890.5020012,437952.624049
2013-07-29,331493.2850525,2013,7,29,0,0,433358.6520873,342802.29905
2013-07-30,318553.989932,2013,7,30,1,0,331493.2850525,316257.463107
2013-07-31,357982.979012,2013,7,31,2,0,318553.989932,309243.7899995
2013-08-01,397555.3181021,2013,8,1,3,0,357982.979012,298074.2249247
2013-08-02,393831.120007,2013,8,2,4,0,397555.3181021,318745.692921
2013-08-03,516956.846013,2013,8,3,5,1,393831.120007,423890.5020012
2013-08-04,514267.27594,2013,8,4,6,1,516956.846013,433358.6520873
2013-08-05,407033.810946,2013,8,5,0,0,514267.27594,331493.2850525
2013-08-06,357263.854086,2013,8,6,1,0,407033.810946,318553.989932
2013-08-07,351302.132003,2013,8,7,2,0,357263.854086,357982.979012
2013-08-08,310953.0239315,2013,8,8,3,0,351302.132003,397555.3181021
2013-08-09,337521.667868,2013,8,9,4,0,310953.0239315,393831.120007
2013-08-10,434184.94409,2013,8,10,5,1,337521.667868,516956.846013
2013-08-11,434720.3230013,2013,8,11,6,1,434184.94409,514267.27594
2013-08-12,349539.224033,2013,8,12,0,0,434720.3230013,407033.810946
2013-08-13,317103.331061,2013,8,13,1,0,349539.224033,357263.854086
2013-08-14,324377.386893,2013,8,14,2,0,317103.331061,351302.132003
2013-08-15,311043.17291,2013,8,15,3,0,324377.386893,310953.0239315
2013-08-16,364487.3218839,2013,8,16,4,0,311043.17291,337521.667868
2013-08-17,448835.3109167,2013,8,17,5,1,364487.3218839,434184.94409
2013-08-18,464053.7730675,2013,8,18,6,1,448835.3109167,434720.3230013
2013-08-19,362085.52696,2013,8,19,0,0,464053.7730675,349539.224033
2013-08-20,343046.11398,2013,8,20,1,0,362085.52696,317103.331061
2013-08-21,335724.643932,2013,8,21,2,0,343046.11398,324377.386893
2013-08-22,306473.26098,2013,8,22,3,0,335724.643932,311043.17291
2013-08-23,331906.369098,2013,8,23,4,0,306473.26098,364487.3218839
2013-08-24,420576.154994,2013,8,24,5,1,331906.369098,448835.3109167
2013-08-25,443694.093754,2013,8,25,6,1,420576.154994,464053.7730675
2013-08-26,347159.6410143,2013,8,26,0,0,443694.093754,362085.52696
2013-08-27,319688.2190185,2013,8,27,1,0,347159.6410143,343046.11398
2013-08-28,319322.060993,2013,8,28,2,0,319688.2190185,335724.643932
2013-08-29,294518.685943,2013,8,29,3,0,319322.060993,306473.26098
2013-08-30,354932.930947,2013,8,30,4,0,294518.685943,331906.369098
2013-08-31,523631.3811059,2013,8,31,5,1,354932.930947,420576.154994
2013-09-01,640406.221875,2013,9,1,6,1,523631.3811059,443694.093754
2013-09-02,458792.960966,2013,9,2,0,0,640406.221875,347159.6410143
2013-09-03,397680.420032,2013,9,3,1,0,458792.960966,319688.2190185
2013-09-04,392565.48591,2013,9,4,2,0,397680.420032,319322.060993
2013-09-05,330622.779063,2013,9,5,3,0,392565.48591,294518.685943
2013-09-06,335442.247929,2013,9,6,4,0,330622.779063,354932.930947
2013-09-07,518584.247,2013,9,7,5,1,335442.247929,523631.3811059
2013-09-08,560852.005091,2013,9,8,6,1,518584.247,640406.221875
2013-09-09,377151.7070027,2013,9,9,0,0,560852.005091,458792.960966
2013-09-10,308074.4658225,2013,9,10,1,0,377151.7070027,397680.420032
2013-09-11,323124.61885,2013,9,11,2,0,308074.4658225,392565.48591
2013-09-12,282855.730937,2013,9,12,3,0,323124.61885,330622.779063
2013-09-13,319556.942029,2013,9,13,4,0,282855.730937,335442.247929
2013-09-14,476364.004996,2013,9,14,5,1,319556.942029,518584.247
2013-09-15,532852.959041,2013,9,15,6,1,476364.004996,560852.005091
2013-09-16,373229.840879,2013,9,16,0,0,532852.959041,377151.7070027
2013-09-17,327282.949966,2013,9,17,1,0,373229.840879,308074.4658225
2013-09-18,315687.718926,2013,9,18,2,0,327282.949966,323124.61885
2013-09-19,279580.372008,2013,9,19,3,0,315687.718926,282855.730937
2013-09-20,331846.9039701,2013,9,20,4,0,279580.372008,319556.942029
2013-09-21,468298.380896,2013,9,21,5,1,331846.9039701,476364.004996
2013-09-22,502068.7019007,2013,9,22,6,1,468298.380896,532852.959041
2013-09-23,356043.0340047,2013,9,23,0,0,502068.7019007,373229.840879
2013-09-24,303333.392926,2013,9,24,1,0,356043.0340047,327282.949966
2013-09-25,312490.104996,2013,9,25,2,0,303333.392926,315687.718926
2013-09-26,273057.8798588,2013,9,26,3,0,312490.104996,279580.372008
2013-09-27,320246.574024,2013,9,27,4,0,273057.8798588,331846.9039701
2013-09-28,484903.6890081,2013,9,28,5,1,320246.574024,468298.380896
2013-09-29,522868.441946,2013,9,29,6,1,484903.6890081,502068.7019007
2013-09-30,367068.4500143,2013,9,30,0,0,522868.441946,356043.0340047
2013-10-01,436441.034076,2013,10,1,1,0,367068.4500143,303333.392926
2013-10-02,414455.6550375,2013,10,2,2,0,436441.034076,312490.104996
2013-10-03,348933.24703,2013,10,3,3,0,414455.6550375,273057.8798588
2013-10-04,378109.978059,2013,10,4,4,0,348933.24703,320246.574024
2013-10-05,540156.625057,2013,10,5,5,1,378109.978059,484903.6890081
2013-10-06,553031.424016,2013,10,6,6,1,540156.625057,522868.441946
2013-10-07,373387.109043,2013,10,7,0,0,553031.424016,367068.4500143
2013-10-08,326726.7240121,2013,10,8,1,0,373387.109043,436441.034076
2013-10-09,322529.418957,2013,10,9,2,0,326726.7240121,414455.6550375
2013-10-10,305047.0980576,2013,10,10,3,0,322529.418957,348933.24703
2013-10-11,402913.849028,2013,10,11,4,0,305047.0980576,378109.978059
2013-10-12,426379.6909939,2013,10,12,5,1,402913.849028,540156.625057
2013-10-13,481781.2559686,2013,10,13,6,1,426379.6909939,553031.424016
2013-10-14,342694.7209944,2013,10,14,0,0,481781.2559686,373387.109043
2013-10-15,305242.569986,2013,10,15,1,0,342694.7209944,326726.7240121
2013-10-16,355696.963943,2013,10,16,2,0,305242.569986,322529.418957
2013-10-17,312949.412961,2013,10,17,3,0,355696.963943,305047.0980576
2013-10-18,323327.873107,2013,10,18,4,0,312949.412961,402913.849028
2013-10-19,488245.570001,2013,10,19,5,1,323327.873107,426379.6909939
2013-10-20,537713.5090483,2013,10,20,6,1,488245.570001,481781.2559686
2013-10-21,348721.327971,2013,10,21,0,0,537713.5090483,342694.7209944
2013-10-22,301641.7850828,2013,10,22,1,0,348721.327971,305242.569986
2013-10-23,323105.11598,2013,10,23,2,0,301641.7850828,355696.963943
2013-10-24,276059.0800025,2013,10,24,3,0,323105.11598,312949.412961
2013-10-25,317570.4260338,2013,10,25,4,0,276059.0800025,323327.873107
2013-10-26,452902.363914,2013,10,26,5,1,317570.4260338,488245.570001
2013-10-27,512891.4830689,2013,10,27,6,1,452902.363914,537713.5090483
2013-10-28,346941.91396,2013,10,28,0,0,512891.4830689,348721.327971
2013-10-29,302332.9969864,2013,10,29,1,0,346941.91396,301641.7850828
2013-10-30,319494.7050373,2013,10,30,2,0,302332.9969864,323105.11598
2013-10-31,298195.433106,2013,10,31,3,0,319494.7050373,276059.0800025
2013-11-01,403637.232955,2013,11,1,4,0,298195.433106,317570.4260338
2013-11-02,540615.555037,2013,11,2,5,1,403637.232955,452902.363914
2013-11-03,602796.556029,2013,11,3,6,1,540615.555037,512891.4830689
2013-11-04,424314.167046,2013,11,4,0,0,602796.556029,346941.91396
2013-11-05,393322.182909,2013,11,5,1,0,424314.167046,302332.9969864
2013-11-06,386426.9788195,2013,11,6,2,0,393322.182909,319494.7050373
2013-11-07,346293.3400477,2013,11,7,3,0,386426.9788195,298195.433106
2013-11-08,358473.978049,2013,11,8,4,0,346293.3400477,403637.232955
2013-11-09,513850.32307,2013,11,9,5,1,358473.978049,540615.555037
2013-11-10,587666.490239,2013,11,10,6,1,513850.32307,602796.556029
2013-11-11,374087.890067,2013,11,11,0,0,587666.490239,424314.167046
2013-11-12,373277.748034,2013,11,12,1,0,374087.890067,393322.182909
2013-11-13,332279.2568851,2013,11,13,2,0,373277.748034,386426.9788195
2013-11-14,284567.4029707,2013,11,14,3,0,332279.2568851,346293.3400477
2013-11-15,349383.296052,2013,11,15,4,0,284567.4029707,358473.978049
2013-11-16,524065.5881155,2013,11,16,5,1,349383.296052,513850.32307
2013-11-17,579209.228924,2013,11,17,6,1,524065.5881155,587666.490239
2013-11-18,391945.551999,2013,11,18,0,0,579209.228924,374087.890067
2013-11-19,329455.2710234,2013,11,19,1,0,391945.551999,373277.748034
2013-11-20,354337.734795,2013,11,20,2,0,329455.2710234,332279.2568851
2013-11-21,298047.047965,2013,11,21,3,0,354337.734795,284567.4029707
2013-11-22,340734.213038,2013,11,22,4,0,298047.047965,349383.296052
2013-11-23,485544.298837,2013,11,23,5,1,340734.213038,524065.5881155
2013-11-24,550925.293106,2013,11,24,6,1,485544.298837,579209.228924
2013-11-25,365965.5090102,2013,11,25,0,0,550925.293106,391945.551999
2013-11-26,323292.830024,2013,11,26,1,0,365965.5090102,329455.2710234
2013-11-27,337083.286026,2013,11,27,2,0,323292.830024,354337.734795
2013-11-28,305982.981947,2013,11,28,3,0,337083.286026,298047.047965
2013-11-29,357000.404165,2013,11,29,4,0,305982.981947,340734.213038
2013-11-30,541977.655801,2013,11,30,5,1,357000.404165,485544.298837
2013-12-01,698217.128989,2013,12,1,6,1,541977.655801,550925.293106
2013-12-02,495488.366984,2013,12,2,0,0,698217.128989,365965.5090102
2013-12-03,424438.046973,2013,12,3,1,0,495488.366984,323292.830024
2013-12-04,424147.0459855,2013,12,4,2,0,424438.046973,337083.286026
2013-12-05,386406.804985,2013,12,5,3,0,424147.0459855,305982.981947
2013-12-06,432661.755068,2013,12,6,4,0,386406.804985,357000.404165
2013-12-07,537181.319801,2013,12,7,5,1,432661.755068,541977.655801
2013-12-08,588855.895921,2013,12,8,6,1,537181.319801,698217.128989
2013-12-09,442309.3141075,2013,12,9,0,0,588855.895921,495488.366984
2013-12-10,414421.695986,2013,12,10,1,0,442309.3141075,424438.046973
2013-12-11,422957.198908,2013,12,11,2,0,414421.695986,424147.0459855
2013-12-12,384256.080979,2013,12,12,3,0,422957.198908,386406.804985
2013-12-13,434657.0129787,2013,12,13,4,0,384256.080979,432661.755068
2013-12-14,554911.917024,2013,12,14,5,1,434657.0129787,537181.319801
2013-12-15,642015.7758165,2013,12,15,6,1,554911.917024,588855.895921
2013-12-16,516060.290853,2013,12,16,0,0,642015.7758165,442309.3141075
2013-12-17,480470.71684249997,2013,12,17,1,0,516060.290853,414421.695986
2013-12-18,527481.336925,2013,12,18,2,0,480470.71684249997,422957.198908
2013-12-19,507461.038187,2013,12,19,3,0,527481.336925,384256.080979
2013-12-20,544104.2676365,2013,12,20,4,0,507461.038187,434657.0129787
2013-12-21,685673.07474,2013,12,21,5,1,544104.2676365,554911.917024
2013-12-22,696295.146867,2013,12,22,6,1,685673.07474,642015.7758165
2013-12-23,792865.284427,2013,12,23,0,0,696295.146867,516060.290853
2013-12-24,620663.290732,2013,12,24,1,0,792865.284427,480470.71684249997
2013-12-26,470731.1624137,2013,12,26,3,0,620663.290732,527481.336925
2013-12-27,479314.968043,2013,12,27,4,0,470731.1624137,507461.038187
2013-12-28,556952.3059789999,2013,12,28,5,1,479314.968043,544104.2676365
2013-12-29,499719.5049237,2013,12,29,6,1,556952.3059789999,685673.07474
2013-12-30,635134.7358515,2013,12,30,0,0,499719.5049237,696295.146867
2013-12-31,507264.6630475,2013,12,31,1,0,635134.7358515,792865.284427
2014-01-01,8602.065404,2014,1,1,2,0,507264.6630475,620663.290732
2014-01-02,801011.226041,2014,1,2,3,0,8602.065404,470731.1624137
2014-01-03,680672.845603,2014,1,3,4,0,801011.226041,479314.968043
2014-01-04,936628.8866039,2014,1,4,5,1,680672.845603,556952.3059789999
2014-01-05,949618.78894,2014,1,5,6,1,936628.8866039,499719.5049237
2014-01-06,602268.564009,2014,1,6,0,0,949618.78894,635134.7358515
2014-01-07,563450.5988595,2014,1,7,1,0,602268.564009,507264.6630475
2014-01-08,636176.853478,2014,1,8,2,0,563450.5988595,8602.065404
2014-01-09,496377.933414,2014,1,9,3,0,636176.853478,801011.226041
2014-01-10,543055.329066,2014,1,10,4,0,496377.933414,680672.845603
2014-01-11,787321.455619,2014,1,11,5,1,543055.329066,936628.8866039
2014-01-12,844633.598917,2014,1,12,6,1,787321.455619,949618.78894
2014-01-13,555547.0150185,2014,1,13,0,0,844633.598917,602268.564009
2014-01-14,502643.104285,2014,1,14,1,0,555547.0150185,563450.5988595
2014-01-15,567067.469069,2014,1,15,2,0,502643.104285,636176.853478
